cb_url,region
"/organization/institute-for-women-s-leadership","SF Bay Area"
"/organization/iterate-studio","SF Bay Area"
"/organization/seo-pro-webhosting","SF Bay Area"
"/organization/shipbird-com","SF Bay Area"
"/organization/quri","SF Bay Area"
"/organization/upstart","SF Bay Area"
"/organization/yidio","SF Bay Area"
"/organization/livebooks","SF Bay Area"
"/organization/adsovo","SF Bay Area"
"/organization/assia","SF Bay Area"
"/organization/threadsy","SF Bay Area"
"/organization/launchgram","SF Bay Area"
"/organization/keystream","SF Bay Area"
"/organization/ticketblast","SF Bay Area"
"/organization/bromium","SF Bay Area"
"/organization/zent","SF Bay Area"
"/organization/caustic-graphics","SF Bay Area"
"/organization/yttro","SF Bay Area"
"/organization/node","SF Bay Area"
"/organization/aviso-inc","SF Bay Area"
"/organization/nimblecat","SF Bay Area"
"/organization/bay-microsystems","SF Bay Area"
"/organization/doblet-6","SF Bay Area"
"/organization/joppar","SF Bay Area"
"/organization/shopping-buddy","SF Bay Area"
"/organization/foopets","SF Bay Area"
"/organization/redca","SF Bay Area"
"/organization/rpo","SF Bay Area"
"/organization/plizy","SF Bay Area"
"/organization/new-leaf-paper","SF Bay Area"
"/organization/healthexpense-inc-","SF Bay Area"
"/organization/swiftype","SF Bay Area"
"/organization/newzstand","SF Bay Area"
"/organization/intarcia-therapeutics","SF Bay Area"
"/organization/zoom-video-communications","SF Bay Area"
"/organization/gapjumpers","SF Bay Area"
"/organization/plae","SF Bay Area"
"/organization/iasset","SF Bay Area"
"/organization/lumendata","SF Bay Area"
"/organization/labori-inc","SF Bay Area"
"/organization/wormhole-games","SF Bay Area"
"/organization/greenroad-technologies","SF Bay Area"
"/organization/tookan","SF Bay Area"
"/organization/zeemaps","SF Bay Area"
"/organization/picatcha","SF Bay Area"
"/organization/greenbox-technologies","SF Bay Area"
"/organization/urmystar","SF Bay Area"
"/organization/burstorm","SF Bay Area"
"/organization/academize","SF Bay Area"
"/organization/manservants-co","SF Bay Area"
"/organization/evalve","SF Bay Area"
"/organization/whtvrme","SF Bay Area"
"/organization/advent-software","SF Bay Area"
"/organization/casa-sandoval","SF Bay Area"
"/organization/professional-aptitude-council","SF Bay Area"
"/organization/altimeter-group","SF Bay Area"
"/organization/rodo-medical","SF Bay Area"
"/organization/themeefy","SF Bay Area"
"/organization/we-heart-it","SF Bay Area"
"/organization/zippyapp","SF Bay Area"
"/organization/insideventure","SF Bay Area"
"/organization/financial-crossing","SF Bay Area"
"/organization/centerd","SF Bay Area"
"/organization/justuno-com","SF Bay Area"
"/organization/weathersphere","SF Bay Area"
"/organization/appex-networks","SF Bay Area"
"/organization/datafox","SF Bay Area"
"/organization/sonicliving","SF Bay Area"
"/organization/red-bricks-media","SF Bay Area"
"/organization/alverix","SF Bay Area"
"/organization/edmodo","SF Bay Area"
"/organization/synos-technology","SF Bay Area"
"/organization/giftsapp-2","SF Bay Area"
"/organization/personalis","SF Bay Area"
"/organization/grou-ps","SF Bay Area"
"/organization/cymtec-systems","SF Bay Area"
"/organization/leapfrog","SF Bay Area"
"/organization/keyssa","SF Bay Area"
"/organization/nude-skincare","SF Bay Area"
"/organization/akibah","SF Bay Area"
"/organization/oblix","SF Bay Area"
"/organization/bently-holdings","SF Bay Area"
"/organization/plantsense","SF Bay Area"
"/organization/accord5","SF Bay Area"
"/organization/brightwheel","SF Bay Area"
"/organization/writewell","SF Bay Area"
"/organization/kateeva","SF Bay Area"
"/organization/casereader","SF Bay Area"
"/organization/guidewire-software","SF Bay Area"
"/organization/sparkling-logic","SF Bay Area"
"/organization/circle-ci","SF Bay Area"
"/organization/ucp","SF Bay Area"
"/organization/scaffold-labs","SF Bay Area"
"/organization/yonja","SF Bay Area"
"/organization/in-formation-inc","SF Bay Area"
"/organization/accordion-networks","SF Bay Area"
"/organization/parascale","SF Bay Area"
"/organization/gmid-associates","SF Bay Area"
"/organization/nokori","SF Bay Area"
"/organization/kibbit","SF Bay Area"
